24.07.2026                                                           Dynamische Listenausgabe                                                                  1


	TCODE	PGMNA	DYPNO	MENUE	CINFO	ARBGB	TTEXT
	/ACCGO/MTM_STOCK_DEL	/ACCGO/MTM_STOCK_DELIMIT	 1000		   80		Bestand begrenzen
	/ACCGO/MVT_TYP		 0000		   02		Bewegungsarten konfigurieren
	/ACCGO/MVT_TYPE		 0000		   02		Bewegungsarten konfigurieren
	/ACCGO/NDI_RR	/ACCGO/NETDRY_RECOV_RECAL_RPT	 1000		   80		NettotrockBstd Wiederhrst./Neuberch.
	/ACCGO/NEG_STRL		 0000		   02		Negative Lagerorte pflegen
	/ACCGO/NETDRY_CALC	/ACCGO/NETDRY_PROCESS_RPT	 1000		   80		Berechnung des Netto-/Trockenbestands
	/ACCGO/NETDRY_CHAR_U	/ACCGO/DGR_MAT_CHAR_MASS_UPD	 1000		   80		Netto-Trockenm.: Massenakt. Merkmale
	/ACCGO/NETDRY_DETAIL	/ACCGO/NETDRY_DETAILS_RPT	 1000		   80		Netto-/Trockenbestandsdetails
	/ACCGO/NETDRY_WC	/ACCGO/SAPLCAS_FRAMEWORK_UI	 2000		   00		WC f. Verarb. v. gewicht. Durchschn.
	/ACCGO/NSL		 0000		   02		/ACCGO/V_PLT_NSL
	/ACCGO/NSSNUMRANGE		 0000		   02		Nummernkreis für AbrechnBeleg bearb.
	/ACCGO/OE_REC_DIS	/ACCGO/SAPLCAS_FRAMEWORK_UI	 2000		   00		Wiederherstellungsbericht
	/ACCGO/OE_REPROCESS	/ACCGO/OE_REPROCESS_REP	 1000		   80		OE-Neuverarbeitungsprogramm
	/ACCGO/OE_SCP_REC_D	/ACCGO/SAPLCAS_FRAMEWORK_UI	 2000		   00		Back-to-Back-Umwandlung
	/ACCGO/OF_RECOVERY	/ACCGO/SAPLCAS_FRAMEWORK_UI	 2000		   00		Wiederherstellungsbericht - abgekündigt
	/ACCGO/OPT_CUS		 0000		   02		Optionalitätstypen bearbeiten
